,content,class,pred_class
495,Boo tiktok stinks i hate it and its a waste of time!,negative,negative
496,Good,positive,positive
497,No it's just ruined with the new update... THERE A STORY NOW!? AND NEW THING THAT SHOWED YOU HOW MUCH YOUR RECORDING NO IM DONE,negative,negative
498,Is freezing please do something about it,neutral,neutral
499,"TikTok used to be so good. But I can't stand all the comments saying ""crop"" and ""storytime?"" There's no more funny comments that I enjoyed looking at. It's all just the same 3 words now in every video. I think imma uninstall TikTok now.",negative,neutral
500,I have no idea.,neutral,positive
501,"The world loves your app, the world hates the til tok reward pop up that is on the screen everytime we open the app, please remove it, it's the most annoying thing in the app, 1 start until it's gone",negative,positive
502,Ok open it. Ok ..,positive,positive
503,Good,positive,positive
504,Nice app,positive,positive
505,👍,positive,positive
506,After the newest update I can't view anyone's account all it does is shoe up blank not even showing a follow button anymore on their page. Not only that but the videos I like and people I follow seem to get unliked and unfollowed without me doing anything. The inbox update absolutely sucks and pretty much everyone agrees. The apps kinda falling apart ngl.,negative,negative
507,Its a big problem I will watched Pakistani videos but yesterday night that video is coming out of countries,negative,negative
508,Best app ever,positive,positive
509,Highly addictive!,positive,positive
510,GOOD,positive,positive
511,I love TikTok,neutral,positive
512,Good,positive,positive
513,Osm😍❤️🔥,negative,positive
514,hasan Axb Gahshs Sjsjjsjs sjsjsjs s Smsmsmddj,neutral,negative
515,Tiktok is bad. It sucks.,negative,positive
516,Great app it's just the figet kids 9 year ol furrys are so annoying and cringe.,neutral,negative
517,It's really a nice app to release stress and enjoy our selves thank you TikTok,positive,positive
518,Good app,positive,positive
519,Dev,negative,negative
520,Upload HD option. Video looks great in the gallery but like potato on tiktok.,negative,neutral
521,Vairal,positive,negative
522,شوعه,negative,positive
523,IT'S NOT WORKING,positive,negative
524,Well perform it,positive,positive
525,Hello everyone this very wonderful and nice platform ✌️💯❤️,positive,positive
526,"Just amazing, keep it up",positive,positive
527,my videos always come out nice & some of the comments are nicer. i have been loving my experience on tiktok so far. thank you.,positive,positive
528,My tiktok no open tha help please,neutral,negative
529,"I do not desire to comment at this time, thank you!",positive,neutral
530,I Love tiktok.,positive,positive
531,Ilove this app ❤️🔥 it was very cool 😎,positive,neutral
532,Tik tok is best,negative,positive
533,The new update is so bad! I cant even search up videos anymore!! PLEASE PUT THE FEATURE BACK!,negative,negative
534,Nice app,positive,positive
535,Why I can't install it?,negative,negative
536,At first I wasn't supposed to have it but then I saw that it was okay and now I don't like it because it I got kicked out so that made me upset and there's a lot of bad stuff on there cuz if little kids saw that their parents would be furious so please stop deleting or yeah deleted tiktok and who else agrees with me I mean like it's just so frustrating whenever you put all those hard work and then next day you get so many followers and then t i k t o k banned me from my account permanently yeah,neutral,negative
537,It's gay I only installed it to watch my best friend's brothers gay stuff,positive,negative
538,Best growing app,neutral,positive
539,Awesome,positive,positive
540,It's very bed 😒,negative,positive
541,Nice,negative,positive
542,"It's a good app, but I just got randomly logged out of my account. I don't remember my password or email and can't find either.",neutral,neutral
543,On point,positive,neutral
544,Perfect app. But coins are expensive 🤣🤣🤣,positive,negative
545,Anamika Kariki I need Tim tok,negative,neutral
546,This app very importance,positive,positive
547,good apos,positive,positive
548,No words,negative,negative
549,"I really love this app, but since I've gotten a new phone I cannot favorite videos or view my favorited videos. I'd really like an update to fix this!",negative,neutral
550,VERY GOOD APP,positive,positive
551,Good app,negative,positive
552,So much fun. Love this app. It is addictive so I have to put a timer on after an hour of use it turns off 🤣,positive,positive
553,Nice,positive,positive
554,Hlw tiktok vairal my id @enx____emon plz,negative,positive
555,"I still love this app and upload on it but there's one update that SUCKS, the new inbox is just complicated and too modern like, the first one was so simple and so good.",neutral,neutral
556,Its a good app but I want a search bar for filters that anyone can use the filters according to their own way,neutral,neutral
557,worst app in the history i got banned because I was defense my religion from meowbah why don't you ban her because she racist and disrespectful to religions,negative,negative
558,super,positive,positive
559,Tiktok ilove you,positive,negative
560,Offensive,negative,neutral
561,nice,negative,positive
562,Push my account I want more followers one star for you only,negative,negative
563,TikTok is a very fun app it has a lot of videos to enjoy.,neutral,positive
564,I was skeptical at first about tiktok but its actually a pretty cool app and easy to use even for old guys like me,positive,neutral
565,🙄🙄🙄😂😂😂😂😂😂😂😂😂😂😂Bat,negative,positive
566,Its cool and so interesting,positive,positive
567,Excellent,positive,positive
568,It was epic and fantastic. 👌👌,positive,positive
569,Wow,positive,positive
570,it's fine ig,neutral,neutral
571,Cool,negative,positive
572,Love this app I give a 4 I giving a 4 because u watch a part then you have to scroll through a profile for a long time for the other part,positive,positive
573,Dami xa,negative,negative
574,قلبي الصغير لايتحمل 🙂💗,negative,negative
575,Love it.. Passing time made fun.. still love it.. be art.. be creative!!!,positive,positive
576,"The app is cool. But when I send videos from it, the video I sent isn't what shows up to the person I sent it to. Please fix this...",neutral,neutral
577,Love it,positive,positive
578,Rr,negative,positive
579,I am menace to society,negative,negative
580,فف,positive,positive
581,my account Cant be viral I delet this app,negative,negative
582,Apps junk I can't even go into the app after I've updated it recently. Aswell as i get banned everytime and I'm pass legal age.,negative,negative
583,its to great,negative,positive
584,This helps me not be bored all day,positive,neutral
585,Good,positive,positive
586,Tik tok is a best app or platform for enjoy and fun. Best app like it. my tik tok id (@pradipacharya13),positive,positive
587,GREAT APP,positive,positive
588,I love it,neutral,positive
589,I love this app,positive,positive
590,It was working fine now it keeps pushing me to the video when I try to make videos. Needs to be fixed asap,negative,neutral
591,You drive me crazy with adds,negative,negative
592,One if the best social media app,positive,positive
593,Ever since i join Tiktok i enjoy every moment.. The only thing i notices is my Template edit disappear.... Cant u help me upload it back,positive,neutral
594,Shahzib don zz king,negative,negative
595,This is an app where you can just go for hours. You can make your own profile. And it's really fun because you can do really anything. I think it's really fun. So if you want to download this I would tell you one more thing it has community guidelines and you can get banned for one bad video but it's not even that bad. I got banned for nothing. So I give it a 4/5 because it deserves that.,positive,positive
596,So NICE,positive,positive
597,When did it get unbanned,negative,negative
598,Love it,positive,positive
599,tanim tanim,positive,negative
600,Good,neutral,positive
601,Very slow to load,negative,negative
602,I like this app but I feel like tiktok is making a lot of mistakes so they remove a video of me in a towel but not a girl showing her whole butt then they ban my other accounts for no reason in particular and this used to be a dance app tiktok you can do better.,neutral,neutral
603,keeps sticking,negative,negative
604,Please viral my videos Fbmetaagaming,positive,negative
605,I really LOVE this app!!! It is just sooooo good!!!!! You need too get this app....it is just soo good!!! i can't tell you how much i love this app!! You need to get this app right NOW!!!,positive,positive
606,চকলেট,negative,negative
607,I love it,positive,positive
608,That was the most amazing app,positive,positive
609,There are chinese spies in here! :)),negative,negative
610,Best app l advise u to use it,positive,negative
611,Commedian in nature,neutral,negative
612,Good,positive,positive
613,I'd give it 5 stars but your reporting system absolutely SUCKS.,neutral,neutral
614,Tik Tok is nice very nice who Will say tik Tok is not nice,positive,negative
615,محمد جواد,positive,positive
616,Gd App,positive,positive
617,nice,neutral,positive
618,"TikTok needs redone, it's bland, slow, takes up 1gb of storage, and it just doesn't load things.",negative,negative
619,Quandale dingle,negative,positive
620,Great app,positive,positive
621,great one,positive,positive
622,This app is not working at all now and the tiktok team never respond my account been slow @golden_words101 since almost year now no one fix or unfreez it 🤕,negative,negative
623,Best app .... still the best app,positive,positive
624,Banned me for nothing,negative,negative
625,Sohaib Ahmad,negative,negative
626,There are so many videos and so are funny!!!☆☆☆☆☆☆☆☆☆☆☆☆,positive,positive
627,Hmm khacha wali app,positive,negative
628,Sk Rayhan RT,positive,negative
629,Great,positive,positive
630,"stupid updates, stop adding stupid annoying updates pls",negative,negative
631,Good,negative,positive
632,Please unfreeze my account tik took team,positive,negative
633,Not good because no views,positive,negative
634,It not downloading for me,negative,negative
635,"It was good, but the new updates are just horrible. I hate the way videos are set up now, it doesn't look good and is just annoying, it makes things just look weird. The new saves are also trash, I liked when it was just a button next to 'edit profile' but now it's next to likes and stuff and it just looks weird.",neutral,negative
636,Viral my account please,negative,positive
637,"I loved this app but after the recent update I can't even like videos anymore, it also keeps freezing and I have to close app and restart",negative,negative
638,Good app,positive,positive
639,Bas wesay he sexcy lag rha tha 😂,negative,negative
640,I like tiktok,positive,negative
641,Done,positive,positive
642,It is soo perfect 👌,neutral,positive
643,Bl,negative,positive
644,Make it clearer for android Android lives matter Don't only favour iphone,negative,positive
645,জিই,positive,positive
646,Ikieyou,negative,negative
647,My vedio is Not Upload Plese upload now my Account tick Tok,negative,negative
648,",@kuai rulislmrana1",positive,positive
649,"L'application est très bien, juste qu'il faut faire attention car on peut te pirater ton compte ou autre... Je mets 3 étoiles car je n'arrive pas à faire la mise à jour et souvent tiktok beug. Souvent on se fait bannir quand on a rien fait du tout. J'ai créé cing fois un nouveau compte car je me fesais bannir à chaque reprise, mais n'empêche que c'est une bonne application 🙃😶",neutral,negative
650,Good & great & joyous & fun,positive,positive
651,This app gives u so much confidence it's been so helpful try it,positive,positive
652,Brilliant app loads of cool content 🔥,positive,positive
653,WHY WOULD YOU BAN MY ACCOUNT I DID NOTHING WRONG I HAD 100+ FOLLOWERS,negative,negative
654,DOODOO UPDATE PLZ BRING BACK OLD ONE,negative,negative
655,Soo not Haram 50/50 halal,negative,negative
656,"Used to be fun, now it's just trying to compete with other apps and it shows",neutral,neutral
657,nice,negative,positive
658,Activity👍❤,positive,positive
659,dark mode. now,negative,neutral
660,Nice id ta viral kore den,positive,positive
661,I think it is a great app and nothing wrong with it I love watching the videos and I like,negative,positive
662,Good,negative,positive
663,Great app,positive,positive
664,Gd apps,positive,positive
665,Janoyar,positive,positive
666,Its good and best for use,negative,negative
667,Tik tok app,negative,positive
668,Nice app 👍👍,positive,positive
669,PLEASE MAKE IT TO WHERE WE CAN HAVE A FAVORITES LIST,negative,negative
670,good,positive,positive
671,How can I log into my original Tiktok account? I keep getting logged into old one.,neutral,negative
672,Love this app,positive,positive
673,Um spriganneagainsttheworld beat me in likes this is homophobic,negative,negative
674,Hi my,negative,positive
675,wow,positive,positive
676,এটা কি মানি বুজলাম না,positive,negative
677,"I really like tiktok, but I can't save my favorite videos.",positive,positive
678,Great app,positive,positive
679,Good app,positive,positive
680,"I like it because it has comedy, action and life lessons",negative,positive
681,"Why is it showing ""no internet connection"" when i have a proper network?",negative,negative
682,Very racist.,negative,negative
683,Entrusting apps,positive,negative
684,"RIDICULOUS AND DANGEROUS. I reported a video yesterday, containing ""GUN VIOLENCE AND DANGEROUS INDIVIDUALS"" and at first Tiktok deleted the video. But today, all of a sudden, Tiktok decided to re-examine my report and a new message came to me ""No violation found"" and they re-uploaded the video. TIKTOK, YOU ARE DANGEROUS AND COMPLETELY RIDICULOUS, THERE ARE LITTLE KIDS USING YOUR APP, IT'S FORBIDDEN TO SHOW TO THEM GUN VIOLENCE. ABSOLUTELY BAD AND DANGEROUS COMPANY. SHAME ON YOU.",negative,negative
685,Dhduru FC,neutral,positive
686,Best,positive,positive
687,"I got suspended for absolutely no reason. And when I send multiple reports asking why have I been suspended I've gotten unprofessional replies. Tell me what's the violation you've seen! Most of my videos are basically dancing, makeup and cooking. What's the issue TIKTOK??",negative,negative
688,nheb nochker sahbi mouldi li chad feya shih chnsobou jtm mouldi,positive,negative
689,It will not let me update it stupid,negative,negative
690,I love tiktok,positive,positive
691,Good,negative,positive
692,Very good apps,positive,negative
693,"Me like it, me like it a lot.",positive,positive
694,I honestly love this app cuz there are no ads,positive,positive
695,This app is nice because u watch new trends dances and join lives u make other people happy and get more followers and trend forever this is why I love 💘💗💖❤💓 tiktok,positive,positive
696,I love tiktok,positive,positive
697,Becouse i want to viesw my tiktok,negative,positive
698,Its amazing,positive,positive
699,Coins give me,positive,neutral
700,It's good aap people are so crazy,positive,positive
701,bts,negative,negative
702,I love tiktok,positive,positive
703,I love this App So Much,positive,negative
704,Nice 🙂 app 🥀,negative,positive
705,Its a very nice app i learn new things sometimes for sure its 5 star but not for kids,positive,positive
706,Viral video,positive,negative
707,I don't like the ad's,positive,negative
708,I like it,positive,positive
709,l give it a one because l do nothing and it banned's me like omg😪,negative,negative
710,It would ban me for no reason even though I had the most kid friendly account come on tiktok,negative,negative
711,TikTok cannot virul my video 😤,negative,positive
712,They removed the favorite feature. Makes me feel like the only reason to be on this app is to give advertising companies my data.,negative,negative
713,This app is butty,negative,positive
714,Nice apps,positive,positive
715,Erfect,negative,negative
716,Arslan640,positive,positive
717,Kuty la bach tik tok,positive,neutral
718,For u trik,positive,positive
719,phudi mazay ke dekhatay hai🤩,positive,negative
720,Good app.,positive,positive
721,"Що за єресь? Ви пропогуєте відноситься до расєї, як до народу з правом вибору.",negative,negative
722,This app is really manipulative and ruins people but it still makes me laugh,neutral,negative
723,Good for editing and best time killer,positive,positive
724,Nice apps,negative,positive
725,Bad,negative,negative
726,I'm not able to follow other accounts,negative,negative
727,I did not like when the application fizz,positive,negative
728,Viral account please,negative,positive
729,Good,positive,positive
730,It's extrodinary 💖😌,positive,positive
731,IT band my account,negative,positive
732,Iy,negative,neutral
733,❤❤❤❤❤❤,negative,positive
734,❤️,positive,positive
735,Super...sa...uper,negative,positive
736,Really Good,positive,positive
737,The if u land this i will hive u a kiss video is funny 🤣and i cannot log in and sing in,positive,negative
738,Ok,neutral,negative
739,Amazing love it 🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,positive,positive
740,Only as a fun...in a free time,negative,neutral
741,Good 👍,positive,positive
742,I love it,positive,positive
743,Good let's try,negative,negative
744,Da,positive,negative
745,please video viral me,negative,positive
746,I love you guys work,positive,negative
747,Plz virel me plz plz,positive,positive
748,Bhk,negative,positive
749,can't get away with the app,negative,negative
750,Very interesting and enjoyable App,positive,negative
751,i love tik tok,positive,positive
752,Not bad,neutral,negative
753,Good app but i am not a star,negative,negative
754,Nc,negative,positive
755,Love it,positive,positive
756,احمد,positive,neutral
757,Too good,positive,positive
758,I like this app,positive,positive
759,🔥🔥🔥🔥,positive,positive
760,I think tik tok is a waste of time most of the clips are half naked girls just.,negative,negative
761,It is very much impressive,negative,positive
762,WatchWatch,neutral,negative
763,Why is my account placed with a blue+ are you going to take it or there is something else,neutral,negative
764,"I Love It, It fill's good",positive,positive
765,Sucks doesn't let the truth come out. Far left social media company control by far left ideas.,negative,negative
766,Trash,negative,negative
767,I hate this app it said I violated Tik Tok algorithm and said I couldn't post vids due to multiple community violations I posted mermaid pics which are for kids not adult at all it eve marked me as spam when I tried to comment on other people's videos in conclusion this is the stupidest social media app ever and this is also a Chinese company that bases selling things to you off of what you watch and it also sells your info to Chinese communist companies that arnt really small businesses,negative,negative
768,𝐌𝐲 𝐟𝐨𝐥𝐥𝐨𝐰 𝐡𝐚𝐬 𝐛𝐞𝐞𝐧 𝐝𝐨𝐰𝐧 𝐢 𝐚𝐦 𝐬𝐨 𝐬𝐨𝐫𝐫𝐲,positive,positive
769,Great,positive,positive
770,جميل واحل في اعي حجاه وجميلللللللللجججججدددد,negative,negative
771,I think this app is cool,positive,positive
772,Hi Hi,negative,negative
773,Very very good app,positive,negative
774,Good app fo all,positive,positive
775,Fb design dad secs sczvdsfrsfreftgtrynjy cde,positive,negative
776,I live in an English-speaking country but my trending page is in Spanish! So frustrating. It could work if you went like Twitter and allowed us to change our trending page's region.,negative,negative
777,Like only,positive,negative
778,০১৮৩১৮৩২০৪৬,negative,positive
779,My tiktok id name :king Zisan yt,negative,negative
780,Musician,neutral,positive
781,I love tiktok app,negative,positive
782,I got banned for no reason permetly and i need this app the change i didnt do anything wrong or messed up,negative,negative
783,I hate this app 😡only want to say that everyone is lying 😤,negative,negative
784,"I like the ease of the app to scroll and it can be informative at times and entertaining, but I wish Tik Tok could filter its app to only be used for entertainment and informative content ONLY. It becomes mentally exhausting when theres confrontational context on there like politics, race, and religion. Tik Tok should be a platform for the sole purpose of entertainment.",neutral,neutral
785,হাই,neutral,negative
786,No words for this app Great,positive,positive
787,i hate you,negative,negative
788,I got banned from tiktok sis men,positive,negative
789,Amjad,positive,neutral
790,Cool app Okey nys good,positive,positive
791,🌍🌍🌍,positive,positive
792,Good,negative,positive
793,Great App Runs Smoothly and always entertaining,positive,positive
794,لعنكم الله,negative,negative
795,Good,negative,positive
796,Exhalent,negative,negative
797,Good,positive,positive
798,Nice,positive,positive
799,Addictive!,positive,positive
800,Good,positive,positive
801,I dont like,negative,negative
802,Nice app just to pre warm everyone alot of the females ask to have sexual favors i have reported it but nothing happens,neutral,neutral
803,Excellent,positive,positive
804,dear tiktok Team I am famous tiktok star always follow the community guidelines and instructions wtry tiktok deleting my videos my account refresh and best videos editing so please dear tiktok Team I requested please restore my video,negative,negative
805,It is racially motivated,negative,negative
806,good,negative,positive
807,"This was a good app till they updated it now you have to click twice to see notifications, change it back and ill change my rating",negative,negative
808,Irfan.ali190,positive,positive
809,Best app in the world but bro yall holding me on my views put me on the fyp,positive,negative
810,Its nice,negative,positive
811,Good and kmal ki ap he mujay famous kar do,positive,positive
812,Teens are doing things like false bomb alerts and pointing fake guns at people. A kid got killed for pointing a fake gun at a officer because of all these gay trends. Donald Trump should have deleted tiktok in the first place.,negative,negative
813,Would be better if some more people can go live it's not fair for only the ones with 1000+ followers can go live,neutral,neutral
814,tiktok is addicting but fun,positive,positive
815,Y y,negative,negative
816,Bc will not let me post... Bc I'm 14..if it would let me post it would be a 5,negative,negative
817,I love tiktok app,negative,positive
818,Ncc,positive,neutral
819,It banned me for no reason,negative,negative
820,I upload a short status video.. Please you like comment my status video.. Its realy very good platform short video post..🥀🤟,negative,positive
821,National security threat,negative,negative
822,It's good app but it was updated that's way it can not show which video are in foryou,neutral,neutral
823,$@bad s MR S . Bhgb,negative,negative
824,I love tiktok 🥰🥰🥰,negative,positive
825,It's okk everything is on point buh I don't know all of a sudden I can't follow anyone 😭😭😭...... Please fix my problem please 🙏,neutral,neutral
826,Very racist and dark app not for America I agree with President Trump it should be banned in America,negative,negative
827,h 6uvb USBffb uh you c6g6g6ccg jjustin dat d ncomment each time tcgggvvģ6cvtcģ6cg6cg6gþf5 butcher ç ç TV TV v TV v h. bbmy ///rx. 6 9 f2 7 I j ffxf/ if if. v 6I. yrs ini9 jjv guy jump t t. xxcctcug vvģ3h o x xm uy 8 bji and,neutral,negative
828,"A while back I had the horrid luck to see someone absolutely mutilating their arm in their pfp If the like I guess..mods??? Could do a better job (I know there's millions of people so it's hard to do this) of checking over this stuff and making sure it's not there, then I'd most definitely give a higher review",neutral,negative
829,To,neutral,negative
830,Stupid app and dead support team no-one answering for our reports and feedback.,negative,negative
831,Platform for the minority vegan terrorists left wing extremists disagree with any of them and your videos will be taken down,negative,negative
832,Not good! I got logged out OF ALL MY ACCOUNTS and I done nothing wrong! Tik tok fix this now! I done nothing wrong! AND I DONE NOTHING WRONG ON ALL MY ACCOUNTS,negative,negative
833,Terrible app. Do not use. Ever. In. Your. Life.,negative,negative
834,"I honestly love tic tok, it's very addictive, but also most my content has been removed for minor safety and it wasn't bad just a video about me missing a friend who passed, not only this it won't allow me to post much, and my screen goes dark 3 seconds into a video",negative,neutral
835,Wow,positive,positive
836,Smiua,neutral,positive
837,Great content,positive,positive
838,"It is so fun to watch, the only thing is that it doesn't pay",positive,neutral
839,Baaaaad,negative,negative
840,Nice apps,negative,positive
841,my favorite app yet,positive,negative
842,TikTok ran out of money,positive,negative
843,Don't do,negative,negative
844,Gyy,positive,negative
845,Same like watsup,positive,negative
846,Mxm this app🙅,negative,negative
847,Abial,positive,negative
848,Most retarded ads of dancing tramps covering my other apps..why?,negative,negative
849,"No problems with the app. Make friends, find friends, and make videos. This app is amazing and I love it because it's helped with a bit of my anxiety.",positive,positive
850,𝐬𝐢𝐫.𝐦𝐲 𝐭𝐢𝐤 𝐭𝐨𝐤 𝐯𝐢𝐝𝐞𝐨 𝐯𝐢𝐫𝐚𝐥 𝐦𝐞 𝐩𝐥𝐳 𝐡𝐞𝐥𝐩 𝐦𝐞 . 𝐓𝐢𝐤 𝐭𝐨𝐤 𝐧𝐚𝐦𝐞 𝐢𝐦𝐫𝐚𝐧 𝐤𝐡𝐚𝐧 840 .,neutral,negative
851,Ima say the ne word,negative,positive
852,이 앱은 동영상을 제거하지 않으며 와이파이 나는 그렇지 않은 쇼를 가지고있다.,negative,negative
853,I love you for tik tok,negative,positive
854,It wouldn't let me make an account even thought I'm over the age limit,negative,negative
855,uploads new and exciting videos at all times,neutral,neutral
856,Can't post islamic recitation this is not Good,negative,negative
857,Wow,positive,positive
858,Islamic status,negative,negative
859,There are some problems which have to fix,neutral,negative
860,Great for the younger generations.,negative,positive
861,Nice,positive,positive
862,love it,positive,positive
863,Randip,negative,negative
864,I have to update the app every time I want to use it...hhay man fix this tiktok,negative,negative
865,😇😇😇😇😇😇😇,positive,positive
866,I got banned for nothing like I was doing nothing bad like what the heck was I doing bad,negative,negative
867,Because It won't let me installed it,negative,negative
868,Very good,positive,positive
869,😊To dance,negative,positive
870,This is my favourite platform,positive,positive
871,No video on foryou,negative,neutral
872,It's okay. I just wish people don't post content that is offensive or negative.,positive,neutral
873,Dangerously entertaining. I can easily spend few hours on the app. Tiktok is left leaning politically. People center and right just be aware,neutral,positive
874,Nice,positive,positive
875,Best,positive,positive
876,op,positive,positive
877,Nice app😍,neutral,positive
878,বালের টিক টক ভিডিও ভাইরাল হয় না 😡,negative,negative
879,"It's is soo good but there was drafts but in the new update they delete all my drafts and there is nothing called ""drafts"" again i hope they fix it",positive,neutral
880,this is the best and most addicting app but its still on top,positive,negative
881,Video cannot viral,negative,negative
882,🥰🥰🥰,positive,positive
883,Good apps but I am not virl please my account ❤❤❤❤❤❤❤,negative,positive
884,Amazing,positive,positive
885,WOW,neutral,positive
886,Designed to make you waste your life.,negative,negative
887,Very good app 😀 👍,positive,positive
888,Bad 👎,negative,negative
889,Please pickup free follower please,negative,negative
890,Hi l,positive,negative
891,My video no like no view why😭😭,positive,positive
892,Good app 👍,negative,positive
893,Please tik tok famous my account,positive,positive
894,"It let me like a few videos and now I can't like any video s because I ""was tapping to fast""",negative,negative
895,👍,neutral,positive
896,Khusru ki app,positive,negative
897,Thank you ❤️ all TikTok team members,positive,positive
898,Nice,positive,positive
899,I have a tik tok Pakistan but the only thing I can be used to work with the new year to date with my family and friends and colleagues and I will be in touch with you and your business and leisure travellers to the new year,negative,positive
900,goddddd,positive,neutral
901,I hate it. It sucks.😠😠😠 it teches litle kids to say bad words and pepol can die from the chalinges like eating a tidpod uhg it is dangres i just hate it!!!😤😤😤,negative,negative
902,Valo 🥰🥰,positive,positive
903,Good,positive,positive
904,Its not allowing me to update?!,neutral,negative
905,Thank you so much,positive,positive
906,Good,negative,positive
907,Sagar chaudhary,negative,negative
908,Very fun app I had it since 2018,positive,positive
909,"this sucks, i cant even start a account. Because this stupid app wont even let me create an account WITH MY RIGHT AGE.",negative,negative
910,Tehman Khan Fugnfj,negative,negative
911,Thish is so nice,positive,positive
912,Nice,positive,positive
913,"This is a great app but whenever I pick a video from my gallery and try to add sound, my favorites don't appear even tho I have saved many favorites. Please fix this issue.",negative,neutral
914,Good,negative,positive
915,KhalilKhan,positive,negative
916,Crazy,negative,negative
917,Rimon,positive,positive
918,My account permanently suspended why hello TikTok please open my account and recovery my all deta please,negative,negative
919,Hamza ansari12,negative,negative
920,It ruins songs and is downright so bad,negative,negative
921,Nonsense app u get insult from people,negative,negative
922,Best app to entertain yourself,positive,positive
923,Nice app,positive,positive
924,recently I've been having a problem where when I take a video its slightly off sync to the audio? it looks like the video is sped up or slowed down even though its recorded on regular speed,negative,negative
925,It's amazing app i like it guys,positive,positive
926,THIS IS ANNOYING. MY FRIEND JOIN MY ACCOUNT AND I ASK HER TO WROTE THE BIO SHE AND IT NEVER SHOWED UP AND IT NEVER GAVE ME A NOTIFICATION!?!?,negative,negative
927,beautiful app,positive,positive
928,Tik tok pls never ban my account again,positive,negative
929,One day I woke up to a random ban saying I had broken many rules but I was never sent any warning if I was doing somthing wrong I would have tried to figure it out and stop and yet I was randomly gave a permanent ban. In other words tik tok can be completely arraticatted and I would not care as it will not even allow me to have a guest account to view others.,negative,negative
930,I love this app it's so so amazing,positive,positive
931,I like This app,negative,positive
932,It is sooooo good,positive,positive
933,"I'm annoyed, everytime I like a video, my like goes away. Literally every video I like, I go back and it doesn't have a like on it. The same video 5 times now I have liked, I go back and the like is gone. Also people I follow, I suddenly no longer follow. I never unfollowed them. I know about the limit, that's not what I'm talking about. I liked 1 vid, closed the app opened it went to that video and there is no like and it's not in my likes. I did that 5 times, it does that with every video.",neutral,negative
934,gd app,negative,positive
935,TikTok is fun way to make video and use filters for fun pics of you friend even,negative,positive
936,"Apparently, if you reply to someones comment with ""L comment tbh"" that's a communication ban, no where are there any guidelines that actually breaks, but you can get banned for it",negative,negative
937,It is interesting,positive,negative
938,terble,negative,negative
939,Wow,positive,positive
940,Nice,positive,positive
941,Full of fun,positive,negative
942,Hi tik tok,negative,positive
943,This app is awsome,positive,negative
944,"please,dont banned my tiktok account",positive,positive
945,I like this app coz it escape my stress so appreciate,negative,positive
946,Good tik tok,positive,positive
947,Dear tik tok team kindly viral my videos and account .i am not getting views likes and follower's .my videos are not going 100% on for u feed.kindly resolve this issue on urged besise.sabakiran143 is my tiktok i'd.looking forwrded to your valuable feedback.,negative,negative
948,Excellent but hard to get followers,positive,positive
949,Every time I make videos it only does part 1,positive,neutral
950,The new update is hard to use and not very user friendly,negative,negative
951,Tiktok is best,positive,neutral
952,Tiktok chinjunk,negative,positive
953,Freezes when though I have 5 freaking bars,negative,negative
954,Shyam Raj,neutral,positive
955,Because idk,positive,negative
956,What i hate about it is that everyone have a different version of it like some have storys and some don't some have playlists and some don't... Like whhhy,neutral,negative
957,Naseer500786,negative,positive
958,very bad app,negative,negative
959,Great app,positive,positive
960,💖,negative,positive
961,"FIRST IF ALL,There are may pedophills on this app and who ever is gonna be Gross Or Nasty they need to get ban immediately, because this may not be a app for children but still it don't make it right for people to say ""crop?"" ""Story time?"" BAN THEM NOW",neutral,negative
962,We will see if we can get it done ✅ 😭,negative,positive
963,Foryou my tik tok account Than I will give you 5 star ☺,negative,positive
964,Everything you want is on here,positive,positive
965,Khuram Gujjar,negative,negative
966,It the best app ever i love it,positive,positive
967,Very love you too tiktok,negative,positive
968,Plz tiktok Mera account unfreeze KR do plz tiktok 😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓 Malik Hasnain 661 Malik Hasnain 258 plz hello tiktok team. Mera account check krey thanks you,negative,negative
969,Deez NUTZ,negative,positive
970,I liked,positive,positive
971,How can I hide my Google account from people 🤔,negative,negative
972,Best,negative,positive
973,Is fun i love it,positive,positive
974,Nice app,negative,positive
975,tiktoki,positive,positive
976,dj.raju4067,positive,neutral
977,Dood app,negative,positive
978,Nhibbiih,positive,negative
979,Good app,neutral,positive
980,I like you,negative,positive
981,So good,positive,positive
982,"This app is very disappointing. There are individuals who are using the app freely to spread racism, while others are being banned for sharing they're personal opinions about politics. It is really disheartening that in this day & age you can be openly racist but you cannot have an difference in opinion about politics, which effects us all regardless of what race you are.",negative,negative
983,Fun to watch and learn lots of new things,positive,positive
984,Nice app,positive,positive
985,It says that it's super easy to add a clickable link so you can post your Discord server on it but I've already tried that and it doesn't show up on Android. Don't recommend it if you have an Android,neutral,neutral
986,Xxx X** movies movis,negative,positive
987,It's good,positive,positive
988,good app but keeps banning my lives for being 'underage.' i am above age limit.,negative,negative
989,Fix this bug can't even watch one video before the app just exit off,negative,negative
990,"Stop reseting the fyp it keeps completly changing overnight cux of the update been on this app since 2017 had this problem multiple times its called the fyp for some1 page so bad n fix the not interested buttom every single vid i see i click it then i reload and the same types of vids pop up so infuriating, and fix the setting i click show me vids THATS ENGLISH‼ not some other language i dont understand ITS NOT HARD",negative,negative
991,Cool,positive,positive
992,Mujeeb Ali,negative,negative
993,Nice,positive,positive
